Date,Time,DateTime,Energy_level,Mood,Weather_Condition,Current_Activity,Location,Procrastination_Score,Num_Productive_tasks,Notes
06 August 2025 9:00:00 AM,9:00:00 AM,06-08-2025 09:00,3,"Excited, Tired","Sunny, Cold",Sleep,Bedroom,1,0,Wake up at 9
06 August 2025 10:00:00 AM,10:00:00 AM,06-08-2025 10:00,6,"Excited, Tired, Calm","Sunny, Cold","Instagram, Work",Bedroom,4,1,"Changed this sheet and alarms, then started watching YouTube"
06 August 2025 11:00:00 AM,11:00:00 AM,06-08-2025 11:00,4,Tired,"Sunny, Cold",YouTube,Bedroom,10,0,
06 August 2025 12:00:00 PM,12:00:00 PM,06-08-2025 12:00,6,Hangry,Sunny,Lunch,Dining room,1,0,
06 August 2025 1:00:00 PM,1:00:00 PM,06-08-2025 13:00,6,Happy,Sunny,"Chilling, Work",Bedroom,7,0,
06 August 2025 2:00:00 PM,2:00:00 PM,06-08-2025 14:00,5,Tired,Sunny,Gaming,Game room,10,0,
06 August 2025 3:00:00 PM,3:00:00 PM,06-08-2025 15:00,8,Energised,Sunny,Gaming,Game room,10,0,Finished at 3pm
06 August 2025 4:00:00 PM,4:00:00 PM,06-08-2025 16:00,5,Tired,Cloudy,Work,Office space,6,2,
06 August 2025 5:00:00 PM,5:00:00 PM,06-08-2025 17:00,5,"Tired, Calm",Cloudy,Work,Office space,7,1,
06 August 2025 6:00:00 PM,6:00:00 PM,06-08-2025 18:00,6,Happy,Cloudy,YouTube ,Bedroom ,8,1,
06 August 2025 7:00:00 PM,7:00:00 PM,06-08-2025 19:00,4,Tired,Cloudy,Netflix,Bedroom,1,0,Me Time
06 August 2025 8:00:00 PM,8:00:00 PM,06-08-2025 20:00,6,Tired,Cloudy,Tiktok,Bedroom,1,0,Me Time
06 August 2025 9:00:00 PM,9:00:00 PM,06-08-2025 21:00,7,Calm,Cloudy,Prayer,Mosque,1,0,
