time,temperature_2m (°C),apparent_temperature (°C),rain (mm),showers (mm),cloud_cover (%),sunshine_duration (s)
2025-08-06T00:00,17.3,15.9,0.00,0.00,0,0.00
2025-08-06T01:00,16.2,14.6,0.00,0.00,0,0.00
2025-08-06T02:00,15.3,14.0,0.00,0.00,0,0.00
2025-08-06T03:00,14.6,13.5,0.00,0.00,90,0.00
2025-08-06T04:00,14.0,13.2,0.00,0.00,36,0.00
2025-08-06T05:00,13.6,12.7,0.00,0.00,100,0.00
2025-08-06T06:00,13.3,12.4,0.00,0.00,100,0.00
2025-08-06T07:00,13.4,12.8,0.00,0.00,100,0.00
2025-08-06T08:00,14.3,13.8,0.00,0.00,100,3600.00
2025-08-06T09:00,15.6,14.9,0.00,0.00,100,3600.00
2025-08-06T10:00,17.5,16.4,0.00,0.00,0,3600.00
2025-08-06T11:00,18.7,17.8,0.00,0.00,0,3600.00
2025-08-06T12:00,19.8,19.3,0.00,0.00,0,3600.00
2025-08-06T13:00,20.9,20.7,0.00,0.00,19,3600.00
2025-08-06T14:00,21.8,21.5,0.00,0.00,40,3600.00
2025-08-06T15:00,22.4,21.3,0.00,0.00,97,3600.00
2025-08-06T16:00,23.5,20.7,0.00,0.00,100,3600.00
2025-08-06T17:00,23.3,20.7,0.00,0.00,100,3600.00
2025-08-06T18:00,22.7,20.4,0.00,0.00,97,3600.00
2025-08-06T19:00,21.8,19.8,0.00,0.00,97,590.59
2025-08-06T20:00,20.7,18.9,0.00,0.00,85,93.80
2025-08-06T21:00,19.7,18.0,0.00,0.00,92,0.00
2025-08-06T22:00,18.9,17.5,0.00,0.00,81,0.00
2025-08-06T23:00,18.4,16.7,0.00,0.00,96,0.00
2025-08-07T00:00,17.7,16.3,0.00,0.00,100,0.00
2025-08-07T01:00,17.0,15.9,0.00,0.00,49,0.00
2025-08-07T02:00,16.5,15.3,0.00,0.00,45,0.00
2025-08-07T03:00,16.0,14.9,0.00,0.00,93,0.00
2025-08-07T04:00,15.4,14.3,0.00,0.00,92,0.00
2025-08-07T05:00,15.3,14.2,0.00,0.00,81,0.00
2025-08-07T06:00,15.2,13.9,0.00,0.00,30,0.00
2025-08-07T07:00,15.4,14.1,0.00,0.00,100,3109.96
2025-08-07T08:00,15.8,14.4,0.00,0.00,100,0.00
2025-08-07T09:00,16.4,14.9,0.00,0.00,100,0.00
2025-08-07T10:00,17.5,16.1,0.00,0.00,92,2103.13
