Date,Time,DateTime,Energy_level,Mood,Current_Activity,Location,Procrastination_Score,Num_Productive_tasks,Notes
"Wednesday, August 6, 2025",9:00:00 AM,06-08-2025 09:00,3,"Excited, Tired",Sleep,Bedroom,0,0,Wake up at 9
"Wednesday, August 6, 2025",10:00:00 AM,06-08-2025 10:00,6,"Excited, Tired, Calm","Instagram, Work",Bedroom,4,1,"Changed this sheet and alarms, then started watching YouTube"
"Wednesday, August 6, 2025",11:00:00 AM,06-08-2025 11:00,4,Tired,YouTube,Bedroom,10,0,
"Wednesday, August 6, 2025",12:00:00 PM,06-08-2025 12:00,6,Hangry,Lunch,Dining room,0,0,
"Wednesday, August 6, 2025",1:00:00 PM,06-08-2025 13:00,6,Happy,"Chilling, Work",Bedroom,7,0,
"Wednesday, August 6, 2025",2:00:00 PM,06-08-2025 14:00,5,Tired,Gaming,Game room,10,0,
"Wednesday, August 6, 2025",3:00:00 PM,06-08-2025 15:00,8,Energised,Gaming,Game room,10,0,Finished at 3pm
"Wednesday, August 6, 2025",4:00:00 PM,06-08-2025 16:00,5,Tired,Work,Office space,6,2,
"Wednesday, August 6, 2025",5:00:00 PM,06-08-2025 17:00,5,"Tired, Calm",Work,Office space,7,1,
"Wednesday, August 6, 2025",6:00:00 PM,06-08-2025 18:00,6,Happy,YouTube ,Bedroom ,8,1,
"Wednesday, August 6, 2025",7:00:00 PM,06-08-2025 19:00,4,Tired,Netflix,Bedroom,0,0,Me Time
"Wednesday, August 6, 2025",8:00:00 PM,06-08-2025 20:00,6,Tired,Tiktok,Bedroom,0,0,Me Time
"Wednesday, August 6, 2025",9:00:00 PM,06-08-2025 21:00,7,Calm,Prayer,Mosque,0,0,
"Wednesday, August 6, 2025",10:00:00 PM,06-08-2025 22:00,7,Happy,Netflix,Bedroom,0,0,Me Time
"Wednesday, August 6, 2025",11:00:00 PM,06-08-2025 23:00,7,Fulfilled,Netflix,Bedroom,0,0,Me Time
"Thursday, August 7, 2025",9:00:00 AM,07-08-2025 09:00,7,Calm,Sleep,Bedroom,0,0,
"Thursday, August 7, 2025",10:00:00 AM,07-08-2025 10:00,8,Calm,"Work, Gaming",Office Space,6,1,
"Thursday, August 7, 2025",11:00:00 AM,07-08-2025 11:00,8,Energised,Work,Office Space,1,1,
"Thursday, August 7, 2025",12:00:00 PM,07-08-2025 12:00,7,"Energised, Happy","Work, Lunch",Office Space,1,1,
"Thursday, August 7, 2025",1:00:00 PM,07-08-2025 13:00,8,"Energised, Happy, Excited",Work,Office Space,1,2,
"Thursday, August 7, 2025",2:00:00 PM,07-08-2025 14:00,8,"Energised, Happy",Work,Office Space,1,1,
"Thursday, August 7, 2025",3:00:00 PM,07-08-2025 15:00,7,"Happy, Focused",Work,Office Space,1,2,
"Thursday, August 7, 2025",4:00:00 PM,07-08-2025 16:00,7,Energised,Work,Office Space,1,1,
"Thursday, August 7, 2025",5:00:00 PM,07-08-2025 17:00,8,"Calm, Happy",Work,Office Space,1,1,
"Thursday, August 7, 2025",6:00:00 PM,07-08-2025 18:00,8,Happy,Chilling,In-Laws ,0,1,
"Thursday, August 7, 2025",7:00:00 PM,07-08-2025 19:00,7,Calm,"Chilling, Groceries",Tesco,0,0,
"Thursday, August 7, 2025",8:00:00 PM,07-08-2025 20:00,6,Tired,"Travel, Groceries",Tesco,0,0,
"Thursday, August 7, 2025",9:00:00 PM,07-08-2025 21:00,6,Calm,Gaming,Gaming Room,0,0,
"Thursday, August 7, 2025",10:00:00 PM,07-08-2025 22:00,8,Excited,Gaming,Gaming Room,0,0,
"Thursday, August 7, 2025",11:00:00 PM,07-08-2025 23:00,8,Excited,Gaming,Gaming Room,5,0,Could be winding down for the night and read but I'm gaming instead
"Friday, August 8, 2025",9:00:00 AM,08-08-2025 09:00,6,Tired,Sleep,Bedroom,0,0,
"Friday, August 8, 2025",10:00:00 AM,08-08-2025 10:00,6,Tired,Chilling,Bedroom,8,0,
"Friday, August 8, 2025",11:00:00 AM,08-08-2025 11:00,8,"Focused, Excited",Work,Office Space,1,2,
"Friday, August 8, 2025",12:00:00 PM,08-08-2025 12:00,8,Happy,Work,Office Space,1,1,
"Friday, August 8, 2025",1:00:00 PM,08-08-2025 13:00,6,Tired,"Work, Lunch",Office Space,1,1,
"Friday, August 8, 2025",2:00:00 PM,08-08-2025 14:00,6,Focused,"Work, Prayer",Office Space,1,1,
"Friday, August 8, 2025",3:00:00 PM,08-08-2025 15:00,4,Tired,Work,Office Space,1,1,
"Friday, August 8, 2025",4:00:00 PM,08-08-2025 16:00,5,Tired,"Work, Gaming",Office Space,5,1,
"Friday, August 8, 2025",5:00:00 PM,08-08-2025 17:00,7,Happy,Gaming,Gaming Room,6,0,
"Friday, August 8, 2025",6:00:00 PM,08-08-2025 18:00,7,Happy,Gaming,Gaming Room,6,0,
"Friday, August 8, 2025",7:00:00 PM,08-08-2025 19:00,6,Hangry,Gaming,Gaming Room,6,0,
"Friday, August 8, 2025",8:00:00 PM,08-08-2025 20:00,7,Hangry,Chilling,Sitting room,0,0,
"Friday, August 8, 2025",9:00:00 PM,08-08-2025 21:00,8,Happy,Walk,Outdoors,0,0,
"Friday, August 8, 2025",10:00:00 PM,08-08-2025 22:00,8,Happy,Gaming,Gaming Room,0,0,
"Friday, August 8, 2025",11:00:00 PM,08-08-2025 23:00,8,Happy,Gaming,Gaming Room,0,0,
"Saturday, August 9, 2025",9:00:00 AM,09-08-2025 09:00,,,,,,,
"Saturday, August 9, 2025",10:00:00 AM,09-08-2025 10:00,8,Tired,Sleep,Bedroom,0,0,
"Saturday, August 9, 2025",11:00:00 AM,09-08-2025 11:00,8,Happy,Groceries,Sainsburys,0,0,
"Saturday, August 9, 2025",12:00:00 PM,09-08-2025 12:00,7,Focused,Planning,Sitting Room,0,1,
"Saturday, August 9, 2025",1:00:00 PM,09-08-2025 13:00,7,Excited,Gaming,Gaming Room,0,0,
"Saturday, August 9, 2025",2:00:00 PM,09-08-2025 14:00,8,Energised,Gaming,Gaming Room,0,0,
